filmoId,nomId
3,19445
5,52108
6,23681
7,39102
8,13487
9,45450
10,51766
11,48030
12,5773
13,19445
14,5940
15,56553
16,46736
17,48781
18,54584
19,33448
20,248
21,40500
22,8204
23,1063
24,33455
25,21041
26,16508
27,28169
28,47166
29,10987
30,6536
31,33415
32,5925
33,33337
34,44022
35,7998
36,1755
37,22803
38,43928
39,51476
40,33514
41,1877
42,55584
43,23077
44,50982
45,28932
46,50894
47,12962
48,40051
49,12152
50,2188
51,20468
52,1559
52,8133
52,9031
52,49319
52,51343
52,56813
53,3581
54,47753
55,48281
56,51278
57,1173
57,23596
58,35340
59,29601
60,28540
61,1194
61,20026
61,30355
61,48995
62,9822
63,42983
64,48260
65,88175
66,46365
67,21892
68,25721
69,31241
70,2505
71,35023
72,4288
73,36333
74,49059
75,5371
76,28256
77,28485
78,28492
78,53624
79,27478
80,5668
81,5468
82,36512
83,22520
84,27737
85,48030
86,57187
87,54226
88,1992
89,46175
90,10189
91,15514
92,16412
93,49204
94,45973
95,31161
96,8373
97,26689
98,44680
99,5093
100,38063
101,36573
102,35418
103,25829
104,50267
105,21705
106,46189
107,12530
108,4457
109,36573
110,52715
111,34872
112,30274
113,9068
114,8453
115,41353
116,9658
117,46736
118,13349
119,26387
120,13140
121,44657
122,47961
123,27576
124,45850
125,36672
126,51672
127,9067
128,45722
129,17921
130,17921
131,17921
132,17921
133,17921
134,17921
135,17921
136,17921
137,17921
138,17921
139,17921
140,17921
141,17921
142,17921
143,17921
144,17921
145,17921
146,17921
147,17921
148,17921
149,17921
150,9137
151,18311
152,27564
153,17154
154,14085
155,7241
156,5299
156,42251
157,57187
158,37950
159,11500
160,4796
161,8107
162,55611
163,9933
164,7378
165,37516
166,48937
167,19634
168,34227
169,41353
170,34721
171,23622
172,41048
173,24441
174,6764
175,2751
176,3748
177,26484
178,7161
179,45366
180,45234
181,51909
182,43054
183,36309
184,45534
185,38035
186,9845
187,42482
188,43479
189,4899
190,4452
191,45586
192,17856
193,14777
194,41415
195,4320
196,54501
197,6651
198,25140
199,1000
200,1000
201,15334
202,46927
203,41928
204,1233
205,17380
206,23077
207,47029
208,20727
209,55585
210,57174
211,28030
212,3414
213,39056
214,56239
215,38789
216,10574
217,19057
218,18328
219,5697
220,35672
221,16845
222,8301
223,5668
224,26880
225,31743
226,42244
227,56958
228,23622
229,49854
230,44765
231,10519
232,55681
233,27035
234,4753
235,52286
236,53295
237,6634
238,5638
239,39320
240,26431
241,54415
242,5786
243,21805
244,40379
245,3162
246,25985
247,16895
248,39434
249,34076
250,48102
251,37258
252,37258
252,55330
253,21472
253,38999
254,29601
255,38485
256,56682
257,8510
258,26986
259,35311
260,20447
261,9100
262,36733
263,28030
264,46189
265,50757
266,46602
267,29142
267,36866
268,32056
269,14883
270,8543
271,42828
271,55540
272,43337
273,1818
274,26559
275,42004
276,44379
277,8510
278,49319
279,32135
280,56682
281,25681
282,1927
283,13303
284,53739
285,3495
286,5110
287,7130
288,54842
289,3843
290,57275
292,20026
293,4289
294,21662
295,53161
296,42909
297,16008
298,52245
299,19197
300,9109
301,1000
302,1000
303,1000
304,1000
305,1000
306,27234
307,1000
308,1000
309,1000
310,1000
311,1000
312,1000
313,1000
314,1000
315,1000
316,1000
317,1000
318,1000
319,1000
320,1000
321,1000
322,1000
323,1000
324,1000
325,1000
326,1000
327,1000
328,1000
329,1000
330,1000
331,1000
332,1000
333,1000
334,1000
335,1000
336,1000
337,1000
338,1000
339,1000
340,1000
341,1000
342,1000
343,1000
344,1000
345,1000
346,23298
347,11700
348,11588
349,2751
350,2376
351,23828
352,51278
353,45358
354,24176
356,38999
357,36811
358,21799
358,56686
359,50996
360,56953
361,33500
362,32941
363,46274
364,24589
365,28169
366,7309
367,49952
368,8369
369,56682
370,25592
371,1911
372,53395
373,35257
374,43337
375,20001
376,22677
377,12497
378,12497
379,12497
380,12497
381,12497
382,12497
383,12497
384,12497
385,12497
386,35257
387,12497
388,12497
389,15453
390,12497
391,56973
392,12497
393,12497
394,51766
395,12497
396,12497
397,12497
398,12497
399,5773
400,12497
401,18312
402,18312
403,12497
404,12497
405,12497
406,12497
407,12497
408,12497
409,12497
410,12497
411,12497
412,12497
413,12497
414,12497
415,12497
416,12497
417,12497
418,51935
419,51935
420,52715
421,36136
422,14742
423,167
424,42724
425,5925
426,17717
427,47130
428,35736
429,54673
430,54673
431,54673
432,54673
433,54673
434,54673
435,54673
436,54673
437,54673
438,54673
439,54673
440,54673
441,54673
442,54673
443,54673
444,54673
445,54673
446,54673
447,54673
448,54673
449,54673
450,3843
451,3843
452,3843
453,3843
454,3843
455,3843
456,3843
457,3843
458,3843
459,3843
460,3843
461,3843
462,3843
463,3843
464,3843
465,3843
466,3843
467,3843
468,3843
469,3843
470,3843
471,3843
472,3843
473,3843
474,3843
475,3843
476,3843
477,3843
478,3843
479,3843
480,17289
481,3843
482,149047
483,3843
484,3843
485,3843
486,3843
487,22344
488,3811
489,3843
490,55400
491,807
492,3843
493,3843
494,33397
495,25979
496,3882
497,17040
498,14287
499,16032
500,40339
501,21110
502,53909
503,55585
504,22326
505,48010
506,14085
507,30939
508,15453
509,38865
510,1000
511,16358
512,2421
512,16358
513,16358
514,16358
515,16358
516,16358
517,16358
518,16358
519,16358
520,22520
521,45683
522,14216
523,6113
524,28597
525,43475
526,16358
527,16358
528,16358
529,16358
530,16358
531,16358
532,16358
533,16358
534,16358
535,16358
536,16358
537,16358
538,16358
539,16358
540,16358
541,16358
542,16358
543,16358
544,16358
545,44481
546,43603
547,2612
548,15453
549,17921
550,17921
550,20026
551,17921
552,24779
553,15453
554,16849
555,2115
556,56682
557,3685
558,38702
559,48995
561,24165
562,11936
563,47718
564,42127
565,43927
566,25122
567,36491
568,27234
569,15334
570,32896
571,45491
571,54445
572,19583
573,19814
574,21430
575,43205
576,51278
577,8725
578,4797
579,53697
580,30695
581,32172
582,6482
583,32222
584,24176
585,4066
586,7758
587,53325
588,18312
589,56239
590,19445
591,10514
592,30154
593,14427
594,45534
595,54226
596,45651
597,40985
598,43878
599,43878
600,26806
601,48097
602,27723
603,50584
604,1992
605,14948
606,23424
607,34512
608,20026
609,35364
610,35364
611,56945
612,28440
613,19446
614,10564
615,19538
616,4523
617,30138
618,9031
619,56682
620,56682
621,56682
622,56682
623,56682
624,56682
625,56682
626,56682
627,56682
628,56682
629,56682
630,56682
631,56682
632,56682
633,24363
634,14981
635,39497
636,7130
637,23873
638,16036
639,50926
640,52715
641,38865
642,43021
643,4800
644,1826
645,28169
646,54842
647,13517
648,52245
649,53014
650,43603
651,46188
652,40985
653,40985
654,19027
655,8204
656,38770
657,35303
658,38770
659,26486
660,5940
661,23647
662,16001
663,53395
664,8048
665,20026
666,24176
667,20026
668,50267
669,24176
670,45722
1145,2886
1146,7161
1147,42312
1148,17357
1149,16149
1150,1194
1151,1194
1152,47701
1153,248
1154,37051
1155,3919
1156,3919
1157,3919
1158,49391
1159,28935
1160,3844
1161,14475
1162,45850
1163,4573
1165,40616
1166,24701
1784,38611
1785,4452
1786,12880
1787,25940
1788,19113
1789,3414
1790,6662
1791,38498
1792,26807
1793,28932
1794,48995
1795,18328
1797,18816
1798,30810
1799,38485
1800,43120
1801,20465
1802,50853
1803,24654
1804,35311
1805,8286
2439,15800
2440,12152
2441,19446
2442,24031
2443,21501
2444,3579
2445,33198
2446,40540
2447,29598
2448,48030
2449,34706
2450,25482
2451,2390
2452,43475
2453,45832
2453,46243
2454,30743
2455,10653
2456,17992
2457,10987
2458,27938
2460,23382
2461,12448
2462,52788
2463,35628
2464,2635
2465,24482
2466,8895
2467,24482
2468,44811
2469,41721
2470,52108
2471,13382
2472,21678
2473,12882
2474,10576
2475,24610
2475,49204
2476,3579
2477,48314
2478,4714
2479,18788
2480,39566
2481,39566
2482,43110
2483,10576
2484,28012
2485,6731
2486,26030
2487,47753
2488,21276
2489,55637
2490,25259
2491,32177
2492,27464
2493,50262
2493,55367
2494,47889
2495,47889
2496,21604
2496,47889
2497,47889
2498,47889
2499,47889
2500,26186
2501,23575
2501,88324
1274,23969
1275,17273
1276,37461
1277,53981
1278,36874
1279,2115
1280,8204
1281,27737
1282,43878
1283,39215
1284,26486
1285,43802
1286,5028
1287,2537
1288,72056
1289,1566
1290,44436
1291,29789
1292,32265
1293,39674
1294,43878
1295,17225
1296,8204
1297,43878
1298,28410
1299,15334
1306,10468
1306,45230
1307,8133
1307,19445
1307,56682
1308,3726
1309,46041
1310,14823
1311,46274
1313,50079
1314,19024
1315,35274
1316,248
1317,248
1318,248
1319,248
1320,248
1321,248
1322,248
1323,248
1324,248
1325,248
1326,248
1327,248
1328,248
1329,248
1330,45397
1331,49391
1332,6014
1332,53742
1333,16849
1334,10572
1335,13048
1336,26421
1336,50977
1337,55345
1338,28935
1339,43360
1340,4443
1340,27938
1341,56373
1342,16078
1343,1798
1344,1992
1345,46016
1346,16078
1347,8510
1348,3919
1350,766
1351,18899
1352,3919
1353,26486
1354,35257
1355,19113
1356,48487
1357,1992
1358,26484
1359,38770
1360,57248
1361,6214
1362,6214
1363,38611
1364,43802
1365,50602
1366,43439
1367,5694
1368,2612
1369,42167
1370,22677
1371,46365
1372,47064
1373,29601
1374,5327
1375,48010
1376,23424
1377,49441
1378,57187
1379,27464
1380,38674
1381,26288
1382,30810
1383,56921
1384,41721
1385,304
1386,7130
1387,15514
1388,22520
1389,10987
1390,23259
1391,807
1392,31822
1395,15172
1396,33565
1397,57709
1398,24165
1399,131642
1400,30767
1401,50900
1402,56571
1403,7881
1404,29269
1405,41958
1406,10189
1407,37045
1408,37148
1409,17451
1410,43468
1411,40346
1412,38380
1413,26870
1414,50225
1415,19197
1416,24081
1417,8133
1418,48995
1419,7584
1420,7584
671,2115
672,14823
673,15514
674,36864
675,4009
676,55400
677,2115
678,47356
679,46274
680,31017
681,4481
682,44727
683,50641
684,46968
685,25016
686,15809
687,25928
688,10617
689,22666
690,54549
691,6845
692,55543
693,56952
694,40690
695,33776
695,40074
696,9047
697,33776
698,22666
699,10271
700,52853
701,43878
702,21316
703,10636
704,26288
705,28935
706,53514
707,17432
708,43878
709,30592
710,21085
711,50183
712,3495
713,1818
714,39826
715,7100
716,8510
717,25305
718,21316
719,45517
720,24322
721,22217
722,26288
723,2517
724,7130
725,21041
726,4590
727,6113
728,42622
729,37752
730,15222
731,23254
732,22217
733,40784
734,27723
735,44376
736,19197
737,8373
738,19197
739,5175
740,28932
741,31033
742,35326
743,3495
744,12448
745,28809
746,31138
747,6504
748,49842
749,5711
750,22407
751,19583
752,43878
753,9047
754,34187
755,49148
756,17327
757,49053
758,49053
759,41818
760,49148
761,11577
762,49053
763,2592
764,49053
765,49475
766,2592
767,49148
768,31527
769,8755
770,8755
771,49148
772,8528
773,49148
774,49475
775,28152
776,49148
777,5907
778,34187
779,5907
780,34187
781,49475
782,49148
783,3685
784,35257
786,53635
787,18044
788,4121
791,29286
792,7218
793,37321
794,26737
795,16412
796,17467
797,31156
798,42779
799,56429
800,39936
801,45250
802,55584
803,26709
804,19024
805,31629
806,42452
807,149047
808,41028
809,44436
810,26677
811,30890
812,26677
813,27737
813,55555
814,19197
815,44436
816,27851
816,50183
817,2537
818,38254
819,23080
820,29789
821,33997
822,40307
823,40307
824,9673
825,29789
825,33022
825,40307
826,41788
827,4356
827,50183
827,53569
828,33022
829,33997
830,6014
831,51930
832,47323
833,17050
834,47323
835,16076
836,51697
837,47323
838,26765
839,20132
840,13176
841,48816
842,2221
843,491
844,47323
845,2221
846,20050
847,51406
848,10617
849,10617
850,32718
851,15041
852,1850
853,3866
854,3866
855,5907
856,36255
857,14669
859,47814
860,11577
861,11577
862,46968
863,5907
864,11577
865,6662
866,49475
867,32140
868,2242
869,11707
870,1850
871,8755
872,17327
873,49148
875,48010
876,50965
877,49148
878,49148
879,7998
881,49148
882,22680
883,22344
884,53857
885,49053
886,49148
887,49053
888,27564
889,5871
890,38987
891,13382
892,30767
893,53635
894,35257
895,49791
896,13141
897,15027
897,15058
897,49240
897,50183
898,27851
898,50183
899,29632
900,9778
901,43232
902,19625
903,21429
904,18085
904,34339
905,27737
906,4295
909,10189
910,48281
911,46101
913,8510
914,35311
915,16520
916,27938
917,18
918,29530
919,8510
920,50079
921,23622
922,29530
923,13227
924,52008
925,27693
926,46016
927,23622
928,21316
929,23298
930,3795
931,19113
932,18
933,39280
934,20636
935,11477
935,27124
936,8510
937,19688
938,9362
939,50661
940,36491
941,43324
942,47235
943,21079
944,46016
945,27938
946,54821
949,18227
950,14085
951,42008
953,37051
954,8510
954,19113
955,48759
956,50782
957,23298
958,33776
958,44531
959,27938
960,50079
961,46016
962,20132
963,48869
964,19276
965,38380
966,54821
967,13091
968,50079
969,27693
970,19113
971,43603
972,21316
973,27938
974,15219
975,8121
976,25869
977,56663
978,32788
979,2283
980,44341
981,13518
982,6699
983,3736
984,32622
985,17821
986,56673
987,738
988,38819
989,42922
990,8898
991,41607
992,6113
993,16575
994,12150
995,53274
996,51047
997,27184
998,43439
999,43439
1000,23383
1001,8510
1001,35116
1002,8510
1003,43360
1004,48487
1005,31553
1006,3795
1007,21688
1008,43878
1009,14669
1010,56373
1011,20636
1012,52008
1013,15809
1014,48869
1015,21079
1016,45964
1017,28935
1018,15219
1019,4156
1020,43360
1021,248
1022,56373
1023,3495
1024,2115
1025,39474
1026,26194
1027,51085
1031,19523
1032,43878
1033,28019
1033,34451
1034,50079
1035,8510
1036,24322
1037,27938
1038,16071
1039,20636
1040,28935
1041,19523
1042,45683
1043,43878
1044,48869
1045,37051
1046,14153
1047,10572
1048,48487
1049,56553
1050,46016
1051,19276
1052,24081
1053,31225
1054,8887
1055,30590
1056,10189
1057,10189
1058,10189
1059,23382
1060,30892
1061,33935
1062,19113
1063,19113
3637,4649
3638,26319
3639,29060
3640,47173
3641,47323
3642,36430
3643,16497
3643,23846
3644,2537
3645,41832
3646,35257
3647,3406
3648,9646
3649,43603
3650,7415
3651,8483
3652,41213
3653,38875
3654,13346
3655,53359
3656,41049
3657,44811
3658,44433
3659,2549
3660,25140
3661,6298
3662,36035
3663,6569
3666,9616
3667,30578
3668,37864
3669,36692
3670,40123
3671,11388
3672,35800
3673,30695
3674,21570
3675,40247
3675,43107
3676,43021
3677,44599
3678,10734
3679,24176
3680,8038
3680,31859
3681,37171
3682,53635
3683,53635
3684,53635
3685,53635
3686,24176
3687,1755
3688,10636
3689,3406
3690,2537
3691,2612
3692,12152
3693,2612
3694,5430
3695,2612
3696,38499
3697,2287
3698,15219
3699,43179
3700,9673
3701,51673
3702,10734
3703,28542
3704,4525
3705,12152
3706,23298
3707,48148
3708,980
3709,12848
3710,38822
3711,44547
3712,52008
3713,44376
3714,39826
3715,49240
3716,3108
3717,28187
3718,56373
3719,43360
3720,23298
3721,12617
3722,24322
3723,16149
3724,47646
3725,38770
1783,38611
1806,47889
1807,7607
1808,16563
1809,6436
1810,49059
1811,11827
1812,30797
1813,46274
1814,44019
1815,12320
1816,36240
1816,48911
1817,269
1818,26032
1819,15453
1820,23080
1821,30783
1822,912
1822,14409
1823,3637
1824,50602
1825,7130
1064,1194
1065,38702
1066,47889
1067,25361
1068,29250
1069,4649
1070,6415
1071,6415
1072,6415
1073,42663
1074,20026
1075,20026
1076,42008
1077,18839
1078,46188
1079,19027
1080,19027
1081,19027
1082,22161
1083,22161
1084,46188
1085,22161
1086,57358
1087,57358
1088,9782
1089,26486
1090,8204
1091,19027
1092,25122
1093,30890
1094,30890
1095,40985
1096,8204
1097,28494
1098,9970
1099,50757
1100,8117
1101,50584
1102,48995
1103,48111
1104,51917
1104,57354
1105,26186
1106,57354
1107,57354
1108,6415
1108,42675
1108,54059
1109,3579
1110,8133
1111,1992
1112,44147
1113,16001
1114,21922
1115,19027
1116,14292
1117,34787
1118,57358
1119,57358
1120,57358
1121,26486
1121,31952
1122,15514
1122,32751
1123,38611
1124,57358
1125,14292
1126,2987
1127,50870
1128,24635
1129,38999
1129,41366
1130,3125
1131,22344
1132,4443
1133,35257
1134,19491
1135,7998
1136,19583
1137,19583
1138,19583
1139,19583
1140,19583
1141,19583
1142,20026
1143,47166
1144,418
1167,24701
1168,24701
1169,24701
1170,24701
1171,24701
1172,24701
1173,24701
1174,24701
1175,24701
1176,24701
1177,24701
1178,24701
1179,23622
1180,1798
1181,17225
1182,38770
1183,40075
1184,19688
1185,8510
1186,7998
1187,14669
1188,24081
1189,15789
1189,25252
1190,52113
1191,42798
1192,19523
1193,7998
1194,24778
1195,19523
1195,48759
1195,49079
1196,50661
1197,10608
1198,24081
1199,24081
1200,46365
1201,46365
1202,45062
1203,51813
1204,1145
1205,19113
1206,43337
1207,45358
1208,33514
1209,37833
1210,37833
1211,39308
1212,20026
1213,15334
1213,16070
1213,30608
